x,y
91.678, 4.07109
91.6816, 4.06702
91.6852, 4.06295
91.6888, 4.05887
91.6924, 4.0548
91.696, 4.05073
91.6996, 4.04665
91.7031, 4.04258
91.7067, 4.03851
91.7103, 4.03443
91.7139, 4.03036
91.7175, 4.02629
91.7211, 4.02221
91.7247, 4.01814
91.7283, 4.01407
91.7319, 4.00999
91.7355, 4.00592
91.7391, 4.00185
91.7427, 3.99777
91.7463, 3.9937
91.7499, 3.98962
91.7535, 3.98555
91.757, 3.98148
91.7606, 3.9774
91.7642, 3.97333
91.7678, 3.96926
91.7714, 3.96518
91.775, 3.96111
91.7786, 3.95703
91.7822, 3.95296
91.7858, 3.94889
91.7894, 3.94481
91.793, 3.94074
91.7966, 3.93667
91.8002, 3.93259
91.8038, 3.92852
91.8073, 3.92445
91.8109, 3.92037
91.8145, 3.9163
91.8181, 3.91223
91.8217, 3.90815
91.8253, 3.90408
91.8289, 3.90001
91.8325, 3.89594
91.8361, 3.89186
91.8397, 3.88779
91.8433, 3.88372
91.8469, 3.87965
91.8505, 3.87558
91.8541, 3.8715
91.8577, 3.86743
91.8613, 3.86336
91.8649, 3.85929
91.8685, 3.85522
91.8721, 3.85115
91.8757, 3.84708
91.8792, 3.84301
91.8828, 3.83894
91.8864, 3.83487
91.89, 3.8308
91.8936, 3.82673
91.8972, 3.82266
91.9008, 3.81859
91.9044, 3.81452
91.908, 3.81045
91.9116, 3.80638
91.9152, 3.80231
91.9188, 3.79825
91.9224, 3.79418
91.926, 3.79011
91.9296, 3.78604
91.9332, 3.78198
91.9368, 3.77791
91.9404, 3.77384
91.944, 3.76978
91.9476, 3.76571
91.9512, 3.76165
91.9548, 3.75758
91.9584, 3.75352
91.962, 3.74945
91.9656, 3.74539
91.9693, 3.74132
91.9729, 3.73726
91.9765, 3.7332
91.9801, 3.72913
91.9837, 3.72507
91.9873, 3.72101
91.9909, 3.71695
91.9945, 3.71289
91.9981, 3.70882
92.0017, 3.70476
92.0053, 3.7007
92.0089, 3.69664
92.0125, 3.69258
92.0161, 3.68853
92.0198, 3.68447
92.0234, 3.68041
92.027, 3.67635
92.0306, 3.67229
92.0342, 3.66824
92.0378, 3.66418
92.0414, 3.66012
92.045, 3.65607
92.0486, 3.65201
92.0523, 3.64796
92.0559, 3.6439
92.0595, 3.63985
92.0631, 3.6358
92.0667, 3.63174
92.0703, 3.62769
92.074, 3.62364
92.0776, 3.61959
92.0812, 3.61554
92.0848, 3.61149
92.0884, 3.60744
92.0921, 3.60339
92.0957, 3.59934
92.0993, 3.59529
92.1029, 3.59125
92.1065, 3.5872
92.1102, 3.58315
92.1138, 3.57911
92.1174, 3.57506
92.121, 3.57102
92.1247, 3.56697
92.1283, 3.56293
92.1319, 3.55889
92.1355, 3.55484
92.1392, 3.5508
92.1428, 3.54676
92.1464, 3.54272
92.1501, 3.53868
92.1537, 3.53464
92.1573, 3.5306
92.161, 3.52656
92.1646, 3.52253
92.1682, 3.51849
92.1719, 3.51445
92.1755, 3.51042
92.1791, 3.50638
92.1828, 3.50235
92.1864, 3.49832
92.19, 3.49428
92.1937, 3.49025
92.1973, 3.48622
92.201, 3.48219
92.2046, 3.47816
92.2082, 3.47413
92.2119, 3.4701
92.2155, 3.46607
92.2192, 3.46205
92.2228, 3.45802
92.2265, 3.45399
92.2301, 3.44997
92.2338, 3.44595
92.2374, 3.44192
92.2411, 3.4379
92.2447, 3.43388
92.2484, 3.42986
92.252, 3.42584
92.2557, 3.42182
92.2593, 3.4178
92.263, 3.41378
92.2666, 3.40976
92.2703, 3.40575
92.2739, 3.40173
92.2776, 3.39772
92.2813, 3.3937
92.2849, 3.38969
92.2886, 3.38568
92.2922, 3.38167
92.2959, 3.37766
92.2996, 3.37365
92.3032, 3.36964
92.3069, 3.36563
92.3106, 3.36162
92.3142, 3.35762
92.3179, 3.35361
92.3216, 3.34961
92.3252, 3.3456
92.3289, 3.3416
92.3326, 3.3376
92.3363, 3.3336
92.3399, 3.3296
92.3436, 3.3256
92.3473, 3.3216
92.351, 3.3176
92.3546, 3.31361
92.3583, 3.30961
92.362, 3.30562
92.3657, 3.30163
92.3694, 3.29763
92.373, 3.29364
92.3767, 3.28965
92.3804, 3.28566
92.3841, 3.28167
92.3878, 3.27769
92.3915, 3.2737
92.3952, 3.26971
